SignalControlNumber,Color,Sequence,ColorTime,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
93,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
94,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
95,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
96,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,적색/녹색화살표등화+황색등화+적색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,41
107,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,41
108,5,녹색/녹색화살표등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,녹색/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,녹색등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,41
108,5,적색등화,41,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,녹색/녹색화살표등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,녹색/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,녹색등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,적색등화,41,,,,,,,,,,,,,,,,,,,,,,,,,
110,3,녹색등화,25,,,,,,,,,,,,,,,,,,,,,,,,,
110,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
110,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,녹색/녹색화살표등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,녹색/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,녹색등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,적색등화,41,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,녹색등화,25,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,녹색등화,25,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
