City,District,RouteNumber,RouteName,RouteDirection,Address,SignalControlNumber,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 가정리 750-1,103,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 겸면 평장리 79-2,104,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 겸면 평장리 62-2,105,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 평장리 62-9,106,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,곡순로,2,전라남도 곡성군 겸면 평장리 산2-1,107,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 평장리 산2-2,108,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 겸면 평장리 산2-2,109,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 겸면 평장리 산2-2,110,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,곡순로,2,전라남도 곡성군 겸면 평장리 산2-1,111,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,곡순로,2,전라남도 곡성군 겸면 평장리 산2-1,112,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,곡순로,1,전라남도 곡성군 겸면 평장리 산1-1,113,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,곡순로,2,전라남도 곡성군 겸면 평장리 산1-1,114,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,곡순로,2,전라남도 곡성군 겸면 평장리 산1-1,115,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,1,전라남도 곡성군 곡성읍 읍내리 310-2,116,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,1,전라남도 곡성군 곡성읍 읍내리 310-2,117,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,1,전라남도 곡성군 곡성읍 읍내리 310-2,118,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,1,전라남도 곡성군 곡성읍 읍내리 310-2,119,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,군청로,2,전라남도 곡성군 곡성읍 읍내리 846,120,,,,,,,,,,,,,,,,,,,,,,
